A=5668 B=4816 C=8853 X=885784998 Y=2813551299 Z=21961415592 M=1379
A=7072 B=5402 C=5425 X=557406752 Y=7612988127 Z=30889450507 M=5889
A=6691 B=9638 C=5347 X=650627170 Y=8684686882 Z=52176089429 M=9623
A=3810 B=5486 C=9642 X=465394657 Y=2237320951 Z=57884718937 M=8233
A=8464 B=9057 C=8593 X=595736511 Y=1612702494 Z=62287483064 M=3834
A=8861 B=8498 C=9978 X=268605424 Y=4122115490 Z=27373724330 M=7947
A=7051 B=9716 C=9035 X=228151650 Y=5120569682 Z=97035618591 M=2249
A=5840 B=3364 C=9429 X=853314787 Y=1649872789 Z=10397628904 M=4987
A=8877 B=7818 C=8082 X=467150382 Y=1125620616 Z=83666564613 M=6860
A=7438 B=5700 C=5307 X=683113518 Y=6867415182 Z=96226873808 M=5969
A=3593 B=6843 C=7827 X=358840288 Y=8517762370 Z=23773130810 M=4667
A=3593 B=4641 C=9977 X=813061261 Y=7899353274 Z=37347916479 M=1524
A=4545 B=8851 C=5958 X=332578731 Y=2209907750 Z=73878065349 M=5226
A=3599 B=6301 C=7774 X=642948469 Y=4581906563 Z=87019676569 M=6744
A=4817 B=3747 C=9643 X=373113230 Y=8611286292 Z=17154300077 M=7778
A=8006 B=7957 C=6192 X=761526925 Y=4413195471 Z=46055058214 M=8266
A=4294 B=3903 C=5309 X=649364179 Y=6633738620 Z=76569546219 M=2252
A=8708 B=6930 C=5074 X=957176280 Y=1131597755 Z=36672467175 M=5773
A=7611 B=3710 C=7411 X=243333772 Y=8068748575 Z=78900478600 M=8372
A=7144 B=4903 C=9810 X=659056126 Y=6845537063 Z=11609787069 M=2364
A=5251 B=8304 C=9712 X=517910837 Y=6479629165 Z=99006941173 M=6735
A=9989 B=3303 C=6823 X=312254669 Y=4670919191 Z=84942286171 M=4606
A=9844 B=6006 C=7840 X=780695110 Y=1713644560 Z=89221922660 M=3838
A=8693 B=9896 C=8753 X=949623481 Y=7040606841 Z=11773733172 M=4801
A=7775 B=8528 C=9900 X=996120261 Y=7525120783 Z=30420191884 M=3161
A=7836 B=9127 C=6287 X=981163285 Y=1666599765 Z=76559986330 M=5141
A=5409 B=5222 C=6500 X=524483893 Y=4662543031 Z=30638773245 M=9325
A=2507 B=4142 C=7908 X=646886577 Y=1976224761 Z=52571603814 M=2195
A=6377 B=4409 C=6270 X=888069602 Y=5094446824 Z=47047141712 M=7293
A=9622 B=4531 C=7859 X=458032960 Y=1622342278 Z=90733206385 M=7345
A=3515 B=9730 C=6782 X=984834291 Y=3634208097 Z=72467903862 M=6682
A=3872 B=3341 C=7399 X=886419895 Y=7065920993 Z=17175096854 M=3941
A=2571 B=3939 C=9503 X=190745106 Y=4774773403 Z=64906865543 M=6290
A=9623 B=8271 C=7554 X=713943484 Y=2273575530 Z=92426881636 M=3582
A=9779 B=4534 C=5298 X=964848322 Y=5085675167 Z=77515203448 M=8917
A=3770 B=3503 C=6586 X=986376238 Y=8158858581 Z=22139373874 M=7889
A=6285 B=8783 C=6690 X=803608816 Y=1491839797 Z=48592791257 M=4256
A=9404 B=9790 C=7959 X=748689788 Y=2869047955 Z=44484134341 M=5534
A=2132 B=8603 C=9279 X=785986623 Y=5997958621 Z=84123875266 M=1569
A=4187 B=7635 C=7579 X=999897933 Y=8835415741 Z=99255154032 M=1580
A=5235 B=8060 C=5482 X=782453510 Y=7065421510 Z=14411490717 M=7194
A=5261 B=5709 C=8009 X=972389111 Y=3597468279 Z=60467941584 M=3981
A=9835 B=6073 C=7079 X=532663215 Y=6388078884 Z=15466038231 M=1991
A=5516 B=8652 C=6075 X=982539934 Y=4870486232 Z=86187321239 M=8002
A=3437 B=9236 C=7969 X=415002088 Y=9774239264 Z=83692922659 M=9717
A=3795 B=7718 C=5241 X=957043727 Y=6744282387 Z=53069127145 M=1367
A=4874 B=3150 C=9484 X=408452730 Y=8314284992 Z=56971325468 M=9977
A=4223 B=3563 C=7642 X=587825763 Y=4784068778 Z=58339806073 M=4427
A=7652 B=5484 C=5057 X=316668824 Y=6493017732 Z=62156767666 M=5793
A=9043 B=7735 C=8245 X=190681529 Y=4775300566 Z=37156035197 M=4887
A=6231 B=4255 C=6607 X=600422519 Y=8015963900 Z=11872253142 M=2222
A=8919 B=5014 C=8909 X=725374725 Y=3268896881 Z=54964466666 M=6007
A=3846 B=3440 C=7216 X=933278828 Y=1050264811 Z=60066123623 M=7910
A=3493 B=8708 C=8723 X=376219649 Y=5793619674 Z=89679206658 M=9730
A=3825 B=9824 C=9343 X=103209676 Y=9236119686 Z=28184482946 M=9721
A=4334 B=9922 C=9126 X=561302545 Y=7121415169 Z=33288069726 M=1017
A=4639 B=9543 C=8166 X=605129123 Y=2751490953 Z=14257288505 M=5104
A=6075 B=6844 C=9654 X=515355703 Y=4934569571 Z=75449177219 M=2737
A=7072 B=8363 C=6063 X=679818993 Y=2554319423 Z=93491402322 M=5980
A=3648 B=3350 C=8915 X=312875801 Y=3606440991 Z=24316519402 M=2503
A=4613 B=3072 C=9822 X=219458709 Y=9459447290 Z=81593819213 M=8661
A=8036 B=6304 C=6330 X=889483805 Y=8830277009 Z=56986474012 M=4767
A=5572 B=5246 C=9405 X=615159251 Y=8568352634 Z=63933900422 M=6819
A=8635 B=6476 C=5810 X=336965057 Y=7814232748 Z=16770298115 M=2534
A=6609 B=8415 C=6197 X=795661081 Y=8874005164 Z=35087891788 M=2930
A=4951 B=5280 C=8328 X=632799478 Y=1925058234 Z=52613549988 M=8000
A=5727 B=3624 C=7577 X=780432662 Y=9906725431 Z=44024132456 M=2241
A=7620 B=7744 C=8814 X=558877367 Y=1361766085 Z=62787708376 M=6320
A=4205 B=6072 C=6861 X=122391599 Y=8898964583 Z=31356645185 M=5296
A=6247 B=7228 C=5251 X=528141269 Y=2197386105 Z=70060038770 M=8139
A=2814 B=8919 C=7653 X=209391921 Y=9750889170 Z=27360505944 M=1599
A=9282 B=4509 C=8313 X=831611057 Y=8394022126 Z=18451809273 M=8436
A=4061 B=3243 C=5716 X=828503294 Y=4817923537 Z=96378429220 M=8994
A=2511 B=7965 C=8767 X=833274893 Y=5672251681 Z=70534917520 M=6302
A=9630 B=4687 C=6211 X=749903573 Y=2588796070 Z=36382169003 M=5489
A=2351 B=7365 C=9404 X=983440801 Y=4095544504 Z=22347936135 M=3290
A=6897 B=8614 C=9962 X=875858467 Y=3484510960 Z=65769184142 M=8888
A=6725 B=4840 C=6517 X=307743652 Y=5681823788 Z=80901369365 M=2035
A=8822 B=5461 C=7357 X=804540484 Y=7395510198 Z=60457324300 M=9085
A=7729 B=8122 C=9777 X=224496689 Y=3457070796 Z=59554267814 M=5226
A=9045 B=4378 C=6097 X=273102511 Y=2469134611 Z=23818085546 M=1911
A=5611 B=9650 C=5055 X=521791351 Y=1423773471 Z=34559163588 M=4721
A=2785 B=4747 C=8690 X=563465977 Y=3073847440 Z=34651779438 M=8805
A=5484 B=7102 C=9785 X=254371489 Y=8442554668 Z=42391822636 M=1280
A=4911 B=9270 C=5741 X=386597505 Y=9819789397 Z=59541790017 M=5263
A=7971 B=4534 C=6787 X=460030642 Y=9910694635 Z=33192766123 M=6163
A=6702 B=6106 C=5187 X=699238831 Y=7735427822 Z=45570989433 M=7936
A=4858 B=5040 C=9178 X=176812454 Y=8287879542 Z=75835832756 M=6735
A=4265 B=5687 C=9022 X=369840583 Y=5371861606 Z=24386952123 M=7539
A=2780 B=5778 C=9187 X=856546093 Y=1244247700 Z=78298608932 M=8241
A=2593 B=6269 C=8589 X=105900560 Y=6981387948 Z=11175623455 M=8145
A=7009 B=8563 C=7600 X=245343805 Y=6556489035 Z=88220216579 M=2785
A=4249 B=9628 C=9814 X=106525866 Y=4909924032 Z=55826873303 M=8004
A=9753 B=6397 C=6727 X=265706466 Y=2367501667 Z=39542829231 M=3008
A=3831 B=3910 C=7529 X=384558414 Y=6652679380 Z=70640100610 M=4658
A=7736 B=9341 C=6390 X=318707999 Y=6374153937 Z=68276952681 M=4912
A=2261 B=9087 C=7032 X=119783583 Y=8437129493 Z=30364016739 M=4176
A=5055 B=7834 C=6592 X=335412261 Y=7803347446 Z=29572886111 M=6849
A=6307 B=4150 C=5174 X=845311509 Y=4774842339 Z=51500466028 M=1248
A=8237 B=3676 C=5449 X=352310819 Y=7581313087 Z=89683366370 M=5114
A=9013 B=5506 C=6890 X=143168809 Y=7221896121 Z=20962636218 M=5774
A=9508 B=3334 C=8470 X=944177193 Y=3723052651 Z=83934270031 M=2952
A=8310 B=8048 C=8447 X=235777098 Y=7113367646 Z=70976122712 M=4093
A=2725 B=5140 C=9928 X=632008267 Y=7657529011 Z=59821723538 M=6440
A=3551 B=6821 C=9659 X=575560318 Y=4559649069 Z=87207343737 M=7253
A=8000 B=7325 C=6276 X=814182169 Y=3702355974 Z=11849060023 M=2732
A=4797 B=4738 C=5853 X=194131595 Y=4919667176 Z=23978141199 M=7554
A=6850 B=5497 C=5314 X=920286581 Y=4569287859 Z=57502265147 M=7206
A=5808 B=4800 C=8453 X=480764693 Y=8116608344 Z=17611649887 M=9632
A=6114 B=4709 C=6528 X=457414033 Y=2729021720 Z=30869071026 M=7922
A=4724 B=6180 C=6083 X=526920536 Y=9378758151 Z=66690989580 M=8664
A=3419 B=9730 C=8235 X=601556206 Y=6322829383 Z=38652511551 M=3283
A=2989 B=3039 C=6509 X=968870980 Y=5948784564 Z=16697929414 M=5783
A=9065 B=5925 C=5946 X=250110032 Y=3376712785 Z=14070179454 M=7305
A=6001 B=6013 C=9740 X=107812798 Y=3227414639 Z=69657582482 M=6970
A=9291 B=7552 C=9752 X=586032709 Y=1080983873 Z=42711563883 M=6315
A=6994 B=4562 C=8587 X=115765254 Y=7635006102 Z=65283178433 M=7679
A=8201 B=6951 C=8205 X=274453945 Y=4205385803 Z=85238718505 M=5741
A=9845 B=3921 C=6964 X=888096429 Y=7807208478 Z=86392430039 M=7668
A=4624 B=3415 C=5010 X=806671090 Y=1180627562 Z=72169490255 M=2010
A=4253 B=3559 C=9650 X=595264175 Y=5268150823 Z=98661700518 M=4543
A=6213 B=5400 C=5794 X=959980368 Y=1661392485 Z=28863431968 M=7390
A=2659 B=3480 C=5651 X=814885953 Y=8834811746 Z=14262822133 M=8756
A=4554 B=4019 C=5441 X=491024025 Y=1641014049 Z=37173307209 M=9894
A=9884 B=6959 C=8801 X=561553664 Y=3181870958 Z=68016842901 M=8186
A=5565 B=8761 C=6623 X=645563352 Y=9161449316 Z=19656532540 M=7548
A=8178 B=5566 C=6904 X=478922136 Y=1836863304 Z=21122713364 M=9396
A=4539 B=9795 C=5696 X=811424533 Y=7881069921 Z=35319403724 M=8674
A=6594 B=5213 C=7049 X=435530088 Y=7402012028 Z=59111421809 M=2540
A=6290 B=8638 C=8035 X=183913724 Y=9182594141 Z=51267442396 M=2572
A=8001 B=7791 C=7849 X=272650366 Y=8230447551 Z=86947285085 M=3385
A=6251 B=7082 C=5406 X=698117949 Y=4427576194 Z=20649090887 M=6779
A=3194 B=5395 C=7078 X=546291050 Y=1438207255 Z=13395757089 M=2588
A=4736 B=7900 C=5354 X=106969592 Y=3109843585 Z=89132306673 M=7848
A=2873 B=5179 C=5303 X=266858779 Y=6368697945 Z=39353993704 M=5843
A=5994 B=3391 C=8774 X=713778104 Y=5900013985 Z=87381881736 M=4573
A=6384 B=8951 C=7869 X=644114645 Y=6874552624 Z=24863609021 M=3724
A=8037 B=3250 C=9224 X=217854659 Y=8383760781 Z=70760380221 M=5925
A=6928 B=8910 C=9455 X=126057150 Y=1695693420 Z=67934289986 M=8534
A=6909 B=3558 C=9384 X=336750242 Y=9271209432 Z=29204695029 M=7552
A=8781 B=6771 C=9762 X=415528418 Y=1968879429 Z=83081655514 M=6186
A=5636 B=3272 C=7847 X=426918615 Y=3988727292 Z=42057160093 M=4061
A=8978 B=8102 C=5243 X=166274412 Y=7649687396 Z=94594399431 M=9213
A=4479 B=8063 C=8001 X=229891280 Y=6281126689 Z=29031644019 M=1522
A=2653 B=7765 C=9573 X=639203097 Y=6084557587 Z=86218723255 M=6867
A=5059 B=5022 C=7676 X=274886320 Y=5395063969 Z=75971168242 M=3140
A=2077 B=7496 C=5816 X=986252632 Y=2389555995 Z=50253297112 M=2413
A=2636 B=4384 C=5553 X=320342977 Y=5988535023 Z=95830899571 M=5980
A=7517 B=6964 C=9051 X=824053392 Y=2846308540 Z=30062491779 M=7436
A=5432 B=8377 C=6241 X=955130036 Y=1222770340 Z=47729924165 M=8015
A=4771 B=4228 C=9736 X=201449839 Y=5313526716 Z=58333477050 M=1581
A=6907 B=8288 C=5608 X=755470823 Y=5636332521 Z=79083885124 M=4673
A=6798 B=6182 C=6303 X=551090594 Y=7773393638 Z=68273942698 M=7093
A=8723 B=3083 C=9179 X=424066099 Y=2794731890 Z=86627393871 M=1648
A=5092 B=4562 C=7169 X=708401487 Y=8715537660 Z=78430554776 M=4809
A=6826 B=6682 C=7772 X=107223719 Y=6434026167 Z=15332881280 M=5122
A=4899 B=7838 C=5522 X=492855348 Y=7045039349 Z=84815828678 M=4783
A=4908 B=4416 C=8277 X=994476576 Y=6298010642 Z=26849418639 M=7814
A=5050 B=7649 C=7126 X=283331871 Y=5504263451 Z=47927121838 M=3918
A=5630 B=8583 C=7719 X=892951456 Y=3602434845 Z=29672406579 M=4348
A=9994 B=6067 C=6901 X=475389959 Y=4971288590 Z=79319177554 M=7019
A=9487 B=5162 C=9322 X=556437748 Y=9734156826 Z=12971076430 M=7601
A=5233 B=4407 C=8990 X=486425615 Y=3364074771 Z=35248663551 M=8798
A=3317 B=6872 C=8378 X=393694939 Y=7779662783 Z=94435987427 M=1269
A=4848 B=3154 C=9302 X=727276829 Y=8579962555 Z=23974194273 M=5604
A=5737 B=7160 C=5992 X=565935695 Y=2229981454 Z=83971006696 M=2384
A=7238 B=5125 C=8663 X=520298395 Y=9264356347 Z=65998253607 M=8174
A=9539 B=6819 C=8985 X=582746001 Y=3806111669 Z=22370832357 M=6539
A=2628 B=6596 C=7218 X=544799517 Y=3666677279 Z=35871045658 M=8628
A=5446 B=7634 C=6773 X=177339277 Y=5827848687 Z=36381332336 M=5039
A=6015 B=5116 C=6486 X=148458998 Y=3579321928 Z=25586822501 M=5044
A=5122 B=8245 C=5945 X=815225532 Y=2956980625 Z=43726358980 M=4483
A=2773 B=5203 C=7978 X=219683269 Y=7276786744 Z=54852626568 M=1308
A=4046 B=5456 C=8727 X=775322690 Y=5821623414 Z=13503673372 M=5885
A=3150 B=7769 C=6832 X=605051972 Y=3542967186 Z=27329413642 M=8989
A=6026 B=9866 C=9525 X=696043214 Y=4200495687 Z=95363598423 M=9280
A=2424 B=6060 C=5904 X=559222174 Y=1078884097 Z=85253813753 M=4162
A=7565 B=6575 C=9361 X=531585383 Y=6258215955 Z=26942634148 M=7066
A=2261 B=4717 C=7433 X=357394182 Y=4618482527 Z=17090488152 M=3544
A=4667 B=4138 C=5384 X=220470820 Y=2610875386 Z=63679445763 M=3908
A=7615 B=7487 C=7766 X=765520716 Y=8875579124 Z=49492020327 M=1490
A=4419 B=5790 C=5154 X=600077980 Y=5462582912 Z=35294579875 M=3644
A=3250 B=4397 C=5074 X=591037369 Y=9836906473 Z=66407434334 M=1438
A=6495 B=5803 C=8953 X=670410519 Y=6067065359 Z=82833283052 M=6675
A=4863 B=6265 C=8774 X=426116755 Y=3731047392 Z=86941782841 M=8359
A=5004 B=8225 C=9961 X=790635604 Y=3763000616 Z=69704577692 M=7373
A=4825 B=5083 C=5488 X=581839821 Y=8674068163 Z=61696837374 M=6588
A=8610 B=9630 C=9350 X=166238767 Y=9950948540 Z=83614572878 M=9571
A=3577 B=9035 C=6708 X=124787002 Y=4051348173 Z=93186939494 M=6426
A=5979 B=7065 C=7726 X=370759242 Y=2702641288 Z=81847205400 M=6514
A=6424 B=7786 C=7273 X=719859594 Y=1368620772 Z=67224017309 M=4862
A=2423 B=9342 C=5266 X=924942552 Y=3269821202 Z=45606760835 M=6402
A=5463 B=7742 C=7685 X=347904266 Y=5143825291 Z=16026126478 M=7212
A=2721 B=3884 C=5733 X=149910837 Y=8200485318 Z=45638000245 M=5291
A=9174 B=4107 C=8230 X=351770268 Y=5253260466 Z=57969962473 M=1449
A=7598 B=6288 C=6488 X=351415819 Y=4168892665 Z=94763932526 M=7639
A=7316 B=6865 C=8201 X=711769340 Y=6044051426 Z=37714958291 M=7951
A=2061 B=3696 C=5732 X=798734186 Y=4683704450 Z=81884562306 M=8292
A=2574 B=8593 C=5839 X=332539169 Y=6763778473 Z=38113636350 M=5468
A=6673 B=3294 C=9892 X=661716113 Y=3974189702 Z=73436379284 M=7702
A=5037 B=7341 C=9726 X=286130544 Y=9697830358 Z=19641486550 M=3169
A=6095 B=6108 C=8610 X=303107606 Y=8581367308 Z=90321647785 M=4800
A=8233 B=8549 C=7101 X=220297538 Y=3924733570 Z=46386098423 M=5493
A=9812 B=5500 C=9677 X=235408460 Y=3438742556 Z=63582036236 M=1756
A=8619 B=7888 C=8588 X=670430843 Y=9002223691 Z=65382288772 M=2347
A=4791 B=3395 C=9606 X=283016613 Y=4142508043 Z=77713866189 M=1766
A=8531 B=4052 C=9835 X=573276976 Y=6140910015 Z=61124052175 M=8415
A=2839 B=3813 C=9094 X=711056383 Y=3273162782 Z=21415284810 M=2938
A=4917 B=3876 C=9388 X=788173824 Y=4767142257 Z=39688969793 M=4583
A=8747 B=8652 C=7497 X=671776746 Y=1076417785 Z=73649493123 M=8128
A=3030 B=9399 C=6447 X=594755485 Y=8859826729 Z=39634621095 M=6539
A=4844 B=8496 C=7406 X=626119704 Y=8927464211 Z=43520186464 M=7760
A=3506 B=5747 C=7210 X=534319259 Y=1320666037 Z=85372567405 M=7026
A=9714 B=7896 C=5104 X=953945943 Y=5805357683 Z=86768621831 M=9883
A=9480 B=8624 C=8952 X=365891327 Y=9855892063 Z=93588829413 M=4220
A=6702 B=5408 C=5034 X=278632093 Y=4668739464 Z=25475744951 M=6016
A=8988 B=9711 C=5358 X=676868065 Y=3994586120 Z=32305486244 M=9259
A=5253 B=8432 C=8119 X=538703099 Y=9808890630 Z=16981436835 M=3457
A=3600 B=6427 C=7320 X=116854071 Y=5090274965 Z=72103779201 M=1640
A=3923 B=9306 C=6016 X=955698427 Y=8715424784 Z=18552408103 M=9354
A=3015 B=3396 C=7077 X=312250830 Y=5762634623 Z=36493045141 M=4119
A=8231 B=9845 C=7962 X=336792903 Y=3682982248 Z=83686328798 M=6662
A=8852 B=5626 C=7407 X=379752880 Y=7340408199 Z=57305785516 M=2601
A=3032 B=5154 C=8964 X=738890186 Y=2928630826 Z=54019311039 M=2019
A=7774 B=5837 C=6787 X=325608971 Y=1801590277 Z=20795670965 M=9553
A=7264 B=4843 C=7424 X=677669409 Y=3445583348 Z=11685238794 M=1829
A=9266 B=5476 C=5231 X=596924802 Y=4198643846 Z=45713110591 M=1886
A=3467 B=8940 C=8424 X=576263918 Y=2399876904 Z=18026550281 M=5438
A=4172 B=8430 C=9512 X=811602340 Y=2404291860 Z=86313278983 M=8209
A=2891 B=8714 C=7615 X=940727594 Y=7544616019 Z=70503841509 M=3943
A=5730 B=4431 C=6755 X=145841882 Y=7649641802 Z=50984048553 M=2156
A=5305 B=8209 C=5487 X=186462067 Y=4964938252 Z=32628662325 M=3328
A=4693 B=4186 C=5871 X=123053106 Y=2466040325 Z=94852948347 M=7266
A=9519 B=5534 C=8072 X=873032713 Y=9060106195 Z=44604223722 M=1829
A=4073 B=4198 C=8494 X=167532060 Y=2203172635 Z=54897905365 M=9782
A=8563 B=9382 C=6388 X=699459553 Y=7661446709 Z=42797052530 M=6423
A=2538 B=9524 C=8585 X=626963591 Y=3062793776 Z=99435224979 M=2922
A=3327 B=7978 C=9512 X=528425221 Y=7611888722 Z=64173406318 M=9585
A=8461 B=7669 C=8638 X=711546743 Y=9927589446 Z=13890131632 M=2649
A=8172 B=4323 C=7648 X=695724575 Y=7440807654 Z=34881728515 M=1046
A=5470 B=6043 C=9681 X=456876136 Y=5489133222 Z=75290007487 M=3968
A=9143 B=9237 C=5696 X=181394961 Y=3854058925 Z=87608194057 M=3416
A=5319 B=9569 C=6793 X=296843957 Y=4870178204 Z=11428547408 M=6346
A=3234 B=9200 C=7324 X=778424528 Y=6767206330 Z=45750159805 M=2484
A=5757 B=9032 C=5263 X=999109005 Y=6209191729 Z=23045519860 M=8473
A=3047 B=7432 C=6846 X=339920144 Y=8961621354 Z=27283508890 M=8369
A=5937 B=7486 C=5908 X=199436815 Y=8344637628 Z=13127778973 M=7156
A=9781 B=7740 C=9622 X=985455675 Y=4559565156 Z=48707753017 M=5276
A=8964 B=3697 C=8022 X=853343858 Y=6289162482 Z=57253570240 M=5208
A=3685 B=3453 C=8834 X=661706826 Y=3595452783 Z=89763089260 M=7600
A=9592 B=6955 C=7759 X=382652536 Y=6844313741 Z=90791238235 M=7782
A=4353 B=4228 C=8413 X=438060019 Y=6678413045 Z=71268154085 M=3728
A=4373 B=6834 C=5439 X=831606536 Y=5374118624 Z=20026623174 M=1744
A=6792 B=9728 C=8014 X=951599525 Y=1685383309 Z=66759755783 M=6952
A=2188 B=3328 C=5062 X=640787290 Y=3554166402 Z=75093537566 M=4639
A=6217 B=6620 C=6008 X=935571691 Y=4178520818 Z=36974300342 M=7136
A=9368 B=3820 C=9692 X=368871490 Y=7341708595 Z=13095332565 M=4498
A=2549 B=3743 C=8078 X=978651926 Y=8284192568 Z=89608050153 M=4763
A=2288 B=3790 C=8068 X=365308874 Y=9747154862 Z=54100707716 M=2189
A=9649 B=6091 C=8404 X=968197001 Y=3167912149 Z=72740974273 M=4838
A=8367 B=6355 C=8054 X=373054339 Y=7022740504 Z=96521084295 M=9384
A=2617 B=4249 C=8103 X=173332694 Y=4425748915 Z=36082350440 M=9047
A=3776 B=9481 C=9329 X=304846292 Y=7552848266 Z=65872012371 M=8683
A=4988 B=8835 C=5634 X=208840543 Y=9029279054 Z=92237729506 M=9478
A=4868 B=3237 C=7520 X=596306985 Y=9992817317 Z=92659137523 M=4958
A=9741 B=6857 C=5590 X=786052251 Y=1123623225 Z=39868010924 M=7201
A=4073 B=3307 C=7679 X=855175559 Y=9079361332 Z=34137812630 M=8632
A=3680 B=9530 C=7574 X=378067550 Y=7751565059 Z=56301199255 M=7289
A=2155 B=5683 C=6392 X=488011067 Y=7514264914 Z=50248694954 M=3647
A=2466 B=8797 C=5123 X=610231790 Y=8498510110 Z=81905482337 M=3066
A=5515 B=6041 C=6857 X=647168720 Y=1864641675 Z=31365998175 M=8358
A=5025 B=4387 C=6048 X=489738699 Y=8743666156 Z=39338529525 M=1039
A=4322 B=7777 C=5053 X=341213952 Y=2733134882 Z=72441640512 M=1315
A=6663 B=4234 C=8528 X=644806352 Y=2126702536 Z=26818844623 M=9409
A=2617 B=7928 C=5152 X=778700311 Y=4960215400 Z=99945408271 M=8377
A=6468 B=3420 C=7835 X=534663698 Y=3393825613 Z=48752002945 M=2586
A=5100 B=4956 C=7562 X=414576180 Y=1465665298 Z=58357656511 M=4087
A=7035 B=7691 C=8686 X=407124776 Y=5365908195 Z=66101800792 M=2763
A=2267 B=6340 C=8009 X=977997356 Y=5918499147 Z=46469767551 M=9773
A=2964 B=6849 C=5178 X=254134315 Y=8572482419 Z=65061529443 M=4292
A=4791 B=8300 C=6386 X=970491657 Y=7413632530 Z=73155291541 M=5059
A=9013 B=3981 C=9426 X=662405888 Y=1261228778 Z=19048157365 M=2331
A=7103 B=3615 C=5549 X=111231551 Y=6556999670 Z=40468238929 M=4221
A=5203 B=6565 C=7189 X=173703497 Y=3280000431 Z=22361330199 M=6802
A=2317 B=8043 C=5314 X=300645865 Y=7614332178 Z=35586966708 M=1404
A=9037 B=8497 C=9332 X=519922197 Y=9430164159 Z=92689447959 M=4988
A=2837 B=7191 C=8828 X=458752756 Y=5690965690 Z=27980404195 M=7861
A=8650 B=4728 C=6420 X=609655455 Y=1068440268 Z=10655292789 M=6147
A=9995 B=4419 C=9491 X=279124412 Y=6182152659 Z=65225118319 M=6321
A=2553 B=9858 C=6708 X=783838056 Y=6152114935 Z=99051561102 M=1478
A=7584 B=8452 C=9686 X=190187230 Y=4585806714 Z=24973576953 M=2685
A=5617 B=6996 C=8842 X=336165309 Y=4604180507 Z=95940673773 M=9502
A=6178 B=8805 C=7057 X=281756986 Y=4209591625 Z=70839629574 M=4510
A=8085 B=7614 C=8461 X=213927635 Y=7377872769 Z=21735800732 M=1883
A=4242 B=8065 C=6279 X=104359644 Y=4556302030 Z=50535076852 M=5436
A=7321 B=7084 C=8058 X=550332298 Y=7494684204 Z=76102349674 M=1677
A=2794 B=4273 C=5640 X=200821486 Y=4799659066 Z=29276395945 M=3309
A=3419 B=8850 C=7965 X=247010099 Y=4104492150 Z=16317481504 M=7250
A=4909 B=4323 C=5339 X=890170568 Y=5807054522 Z=50451038816 M=1017
A=8824 B=7648 C=5110 X=909061142 Y=7626254770 Z=92316889368 M=7883
A=4206 B=7378 C=7188 X=836147738 Y=3932096961 Z=10991474705 M=3655
A=4449 B=9074 C=6931 X=887404874 Y=8589028469 Z=58035373276 M=3133
A=7798 B=5657 C=5302 X=135583033 Y=9896887845 Z=89843078171 M=8455
A=9692 B=7340 C=5840 X=915288874 Y=7310757829 Z=33298540662 M=5165
A=3981 B=9205 C=8421 X=543276068 Y=6268281022 Z=39488196591 M=6179
A=7182 B=9822 C=5423 X=904597691 Y=4790799859 Z=40267977773 M=4669
A=8758 B=9849 C=7537 X=178490961 Y=8293222332 Z=55199802002 M=8230
A=4884 B=7041 C=9932 X=928367844 Y=2017823443 Z=77781127721 M=7343
A=8394 B=4517 C=7202 X=950654859 Y=9763846203 Z=55212853101 M=5159
A=6741 B=8610 C=6225 X=813540671 Y=3887612911 Z=76038261085 M=1920
A=7738 B=5743 C=8385 X=622704320 Y=1173413963 Z=20299107863 M=4133
A=3723 B=3971 C=5399 X=437330391 Y=2860437545 Z=47611389517 M=6486
A=6100 B=3253 C=5952 X=778800672 Y=7972725759 Z=36475537079 M=9458
A=7818 B=7439 C=9644 X=352103517 Y=1661858301 Z=19364972001 M=4018
A=3214 B=9830 C=9154 X=883182477 Y=9391498841 Z=49899692819 M=9665
A=6304 B=5967 C=8297 X=132807095 Y=9611676417 Z=80921698867 M=6042
A=5628 B=6395 C=9848 X=174548165 Y=8058736808 Z=99499552952 M=9792
A=8061 B=6944 C=9478 X=437976434 Y=1456601734 Z=94980060778 M=9362
A=4436 B=3079 C=7091 X=251268488 Y=3269781592 Z=69739815784 M=1651
A=2159 B=4240 C=7417 X=304147658 Y=7283445931 Z=39435604096 M=4305
A=7922 B=7433 C=5564 X=912590167 Y=6586276254 Z=16591830755 M=7854
A=9307 B=4469 C=9249 X=491721924 Y=8627685250 Z=25159432639 M=6714
A=7513 B=5045 C=9749 X=402247907 Y=9280866198 Z=58258233797 M=7735
A=2238 B=4529 C=5101 X=378633123 Y=5596407786 Z=32478807577 M=8907
A=9631 B=7479 C=8689 X=797764417 Y=4890168128 Z=55836712530 M=9007
A=9817 B=8836 C=8899 X=972111939 Y=5757530740 Z=47437046362 M=1616
A=7621 B=9800 C=9801 X=333961288 Y=5409134181 Z=75907134849 M=8171
A=8631 B=6627 C=9443 X=993687850 Y=4687862131 Z=73150701039 M=6168
A=8754 B=4410 C=9015 X=392642350 Y=1572857581 Z=57312042611 M=3064
A=4031 B=4190 C=6614 X=174507045 Y=7165871403 Z=52854690127 M=8206
A=6711 B=6833 C=5338 X=910696166 Y=9900669516 Z=70509008464 M=5426
A=3316 B=7879 C=5723 X=701967695 Y=4241431501 Z=31752829752 M=3805
A=9805 B=4711 C=5919 X=542302132 Y=5601118628 Z=32898358375 M=3752
